# latency_ms  F
13.800 0.0200
14.400 0.0400
14.700 0.0600
14.700 0.0800
15.300 0.1000
15.500 0.1200
15.600 0.1400
15.700 0.1600
15.900 0.1800
15.900 0.2000
16.100 0.2200
16.200 0.2400
16.200 0.2600
16.700 0.2800
16.900 0.3000
17.200 0.3200
17.300 0.3400
17.400 0.3600
18.100 0.3800
18.200 0.4000
18.300 0.4200
18.500 0.4400
18.800 0.4600
19.000 0.4800
19.500 0.5000
20.400 0.5200
21.500 0.5400
21.600 0.5600
22.200 0.5800
22.900 0.6000
26.200 0.6200
26.300 0.6400
28.500 0.6600
30.200 0.6800
31.900 0.7000
32.600 0.7200
34.200 0.7400
40.600 0.7600
44.500 0.7800
45.900 0.8000
50.300 0.8200
51.500 0.8400
51.800 0.8600
54.800 0.8800
69.400 0.9000
73.500 0.9200
78.400 0.9400
93.900 0.9600
128.600 0.9800
147.300 1.0000
